Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total
05600C,CLOCHAR SAN DOMINIC,Convent Road,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012809011,Peter Mooney,mail@dominicandunlaoghaire.ie,A96V2P2,N,Y,N,No subjects through Irish,Catholic,122,100,222
05933G,PRESENTATION PRIMARY SCHOOL,George's Hill,Halston Street,Dublin 7,,Dublin,Dublin City Council,018733061,Marie Berkery,secretary@georgeshillschool.ie,D07YF43,N,Y,N,No subjects through Irish,Catholic,93,35,128
06200O,BOOTERSTOWN BOYS,Grotto Place,Booterstown,Blackrock,Co. Dublin,Dublin,Dun Laoghaire Rathdown,012886830,Robert O'Connor,booterstownbns.ias@eircom.net,A94AC97,N,N,N,No subjects through Irish,Catholic,,307,307
07546J,GOLDENBRIDGE CONVENT,Saint Vincent Street West,Goldenbridge,Inchicore,Dublin 8,Dublin,Dublin City Council,014541265,Tonya Hanly,ololns.ias@gmail.com,D08AY94,N,Y,N,No subjects through Irish,Catholic,109,126,235
09492W,BALSCADDEN N S,Balscadden,Ring Commons,Co. Dublin,,Dublin,Fingal County Council,018412579,Christopher White,balscadden.ias@eircom.net,K32VK33,N,N,N,No subjects through Irish,Catholic,108,112,220
09642P,BURROW N S,Howth Road,Sutton,Dublin 13,,Dublin,Fingal County Council,018325784,Lynn Harley,burrowsecretary@gmail.com,D13TC04,N,N,N,No subjects through Irish,Church Of Ireland,109,106,215
09750S,ST JOSEPHS BOYS N S,Terenure Road East,Dublin 6,,,Dublin,Dublin City Council,014906905,Anne McCabe,office@stjosephsterenure.ie,D06ED86,N,N,N,No subjects through Irish,Catholic,,445,445
09932B,STANHOPE ST CONVENT,Manor Street,Stoneybatter,Dublin 7,,Dublin,Dublin City Council,016716686,Doretta Carey (Acting),admin@stanhopestreetprimary.ie,D07DY60,N,Y,N,No subjects through Irish,Catholic,240,97,337
10296G,SCOIL NAOMH MEARNOG,Strand Road,Portmarnock,Co. Dublin,,Dublin,Fingal County Council,018462060,Sinéad Trimble,stmarnocksns@gmail.com,D13PF29,N,N,N,No subjects through Irish,Catholic,288,342,630
10494K,ALL SAINTS N S,Carysfort Avenue,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012885355,Sandra Byron,allsaintsnsblackrock@gmail.com,A94RC44,N,N,N,No subjects through Irish,Church Of Ireland,25,30,55
10653E,CHAPELIZOD N S,Martin's Row,Chapelizod,Dublin 20,,Dublin,Dublin City Council,0860205494,Máirín O'Shea (Acting Principal),info@stlaurenceschapelizod.com,D20PH32,N,N,N,No subjects through Irish,Church Of Ireland,13,14,27
11525A,ST PATRICKS N SCHOOL,Millbourne Avenue,Drumcondra,Dublin 9,,Dublin,Dublin City Council,018372714,Natasha Bassett (Acting Principal),saintpatricksbns@gmail.com,D09H008,N,N,N,No subjects through Irish,Catholic,3,492,495
11578V,CITY QUAY NS,City Quay,Gloucester Street South,Dublin 2,,Dublin,Dublin City Council,016713754,Richie Hoban,cityquayns@hotmail.com,D02H277,N,Y,N,No subjects through Irish,Catholic,81,74,155
11583O,ST ANDREWS N S,Church Road,Malahide,Co. Dublin,,Dublin,Fingal County Council,018450185,Lesley McElhinney,office@standrewsns.ie,K36HD54,N,N,N,No subjects through Irish,Church Of Ireland,94,129,223
11638N,WHITECHURCH NAT SCHOOL,Whitechurch Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,014942177,Sarah Richards,office@whitechurchns.biz,D16Y1X3,N,N,N,No subjects through Irish,Church Of Ireland,99,114,213
11873A,RATHMICHAEL N S,Rathmichael,Shankill,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012824794,Caroline Senior,caroline.senior@rathmichaelschool.com,D18ET38,N,N,N,No subjects through Irish,Church Of Ireland,108,110,218
11894I,SCOIL MHUIRE,Gilford Road,Sandymount,Dublin 4,,Dublin,Dublin City Council,012695273,Donncha Cleary,scoil.mhuire@hotmail.com,D04DC04,N,N,N,No subjects through Irish,Catholic,278,,278
12014D,ST ANDREWS N S,St Edmundsbury,Lucan Road,Lucan,Co. Dublin,Dublin,South Dublin County Council,016280975,Julie Ann Chapman,stanso@eircom.net,K78NX88,N,N,N,No subjects through Irish,Church Of Ireland,184,239,423
12358M,SWORDS BOROUGH N S,Church Road,Swords,Co. Dublin,,Dublin,Fingal County Council,018407036,Anne Marie Woods,info@oldboroughschool.ie,K67Y179,N,N,N,No subjects through Irish,Church Of Ireland,53,53,106
12448N,GARDINER STREET CONVENT,Gardiner Street,Belvedere Court,Dublin 1,,Dublin,Dublin City Council,018722894,Eileen O'Doherty,eileengardinerstreet@eircom.net,D01H9C5,N,Y,N,No subjects through Irish,Catholic,210,197,407
12755W,KILDARE PLACE N S,92/96 Rathmines Road Upper,Dublin 6,,,Dublin,Dublin City Council,014978215,Ian Packham,info@kildareplace.ie,D06XE18,N,N,N,No subjects through Irish,Church Of Ireland,102,104,206
13217W,HOLY FAMILY NATIONAL SCHOOL,Rathcoole,Co. Dublin,,,Dublin,South Dublin County Council,014580570,Colm Byrne,holyfamilyrathcoole@gmail.com,D24XH22,N,N,N,No subjects through Irish,Catholic,336,372,708
13447Q,SCOIL MHUIRE,Lucan Road,Lucan,Co. Dublin,,Dublin,South Dublin County Council,016280056,Mary Davin,smgns.lucan@gmail.com,K78DK18,N,N,N,No subjects through Irish,Catholic,638,,638
13611D,PRESENTATION PRIMARY SCHOOL,Warrenmount,Blackpitts,Dublin 8,,Dublin,Dublin City Council,014539547,Grainne Noone,warrenmt@eircom.net,D08XR62,N,Y,N,No subjects through Irish,Catholic,131,60,191
13612F,PRESENTATION PRIMARY SCHOOL,Terenure Road West,Dublin 6W,,,Dublin,Dublin City Council,0868678093,Carmel Hume,office@presterenure.ie,D6WAW64,N,N,N,No subjects through Irish,Catholic,582,,582
13815T,HOWTH RD MXD N S,Clontarf Road,Clontarf,Dublin 3,,Dublin,Dublin City Council,018335124,Martha Woolmington,howthrdns@gmail.com,D03E166,N,N,N,No subjects through Irish,Presbyterian,50,48,98
14180H,HOLMPATRICK N S,Convent Lane,Skerries,Co. Dublin,,Dublin,Fingal County Council,018491409,Deirdre MacLean,office@holmpatrickns.ie,K34W573,N,N,N,No subjects through Irish,Church Of Ireland,39,41,80
14463T,ST COLUMBAS N S MXD,North Strand,Dublin 3,,,Dublin,Dublin City Council,018556805,Ann Creaner,principal@stcolumbasns.com,D03NH34,N,N,N,No subjects through Irish,Church Of Ireland,49,75,124
14556D,ST ENDAS PRIMARY SCHOOL,Whitefriar Street,Dublin 8,,,Dublin,Dublin City Council,014757566,Mary Marren,saintendasns@yahoo.ie,D08FW29,N,Y,N,No subjects through Irish,Catholic,57,67,124
14586M,CARYSFORT NS,Convent Road,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012885803,Norma Linehan,office@carysfortns.ie,A94Y516,N,N,N,No subjects through Irish,Catholic,299,297,596
14647G,DALKEY N S (2),Harbour Road,Dalkey,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012803647,Jennifer Kirwan,stpatricks2@gmail.com,A96RR04,N,N,N,No subjects through Irish,Church Of Ireland,52,47,99
14717B,RATHGAR N S,Rathgar Avenue,Dublin 6,,,Dublin,Dublin City Council,014907661,Ivan Pearson,rathgarns@rathgarns.ie,D06DK35,N,N,N,No subjects through Irish,Methodist,42,49,91
14917J,ZION PARISH PRIMARY SCHOOL,Bushy Park Road,Rathgar,Dublin 6,,Dublin,Dublin City Council,014910065,Tom Conaty,zionparishschool@gmail.com,D06K062,N,N,N,No subjects through Irish,Church Of Ireland,43,50,93
14939T,RATHFARNHAM PARISH N S,Washington Lane,Rathfarnham,Dublin 14,,Dublin,South Dublin County Council,014943470,Joyce Perdue,principal@rpns.ie,D14X051,N,N,N,No subjects through Irish,Church Of Ireland,102,125,227
14980Q,GLASNEVIN N S,Botanic Avenue,Glasnevin,Dublin 9,,Dublin,Dublin City Council,018373727,Olive Walsh,secretary.gns@gmail.com,D09TW63,N,N,N,No subjects through Irish,Church Of Ireland,38,46,84
15056L,S N SAN VINSEANN CAILIN,North William Street,Dublin 1,,,Dublin,Dublin City Council,018740048,Margaret O'Connor,Stvincentsnws@eircom.net,D01XT04,N,Y,N,No subjects through Irish,Catholic,244,,244
15132B,HAROLD BOYS N S,St. Patrick's Road,Dalkey,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012856193,Teresa Buckley,info@haroldboysdalkey.ie,A96PY94,N,N,N,No subjects through Irish,Catholic,,132,132
15253N,ST PATRICKS GIRLS NS,Cambridge Road,Ringsend,Dublin 4,,Dublin,Dublin City Council,016685928,Anne Smith,ringsendgns@gmail.com,D04CH58,N,Y,N,No subjects through Irish,Catholic,162,,162
15284B,TANEY N S,Sydenham Villas,Dundrum,Dublin 14,,Dublin,Dun Laoghaire Rathdown,012985015,Elizabeth Carpenter,ecarpenter@taneyschool.ie,D14PN29,N,N,N,No subjects through Irish,Church Of Ireland,195,239,434
15315J,ST GEORGES N S,Naul Road,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,018410107,Elaine Browne,office@stgeorgesns.com,K32KC95,N,N,N,No subjects through Irish,Church Of Ireland,183,208,391
15569R,SCOIL MOIBHI,Milverton,Skerries,Co. Dublin,,Dublin,Fingal County Council,018492467,Maria Lynam,scoilmoibhi.ias@eircom.net,K34WP77,N,N,N,No subjects through Irish,Catholic,36,46,82
15618E,SANDFORD PARISH NATIONAL SCHOOL,Sandford Close,Ranelagh,Dublin 6,,Dublin,Dublin City Council,014974277,Senan Murray,secretary@sandfordparishns.ie,D06V2V6,N,N,N,No subjects through Irish,Church Of Ireland,118,113,231
15622S,ST PATRICKS NS,Chapelizod Village,Dublin 20,,,Dublin,Dublin City Council,016265752,Kieran Tierney,chapelizodstpatricks@gmail.com,D20TW71,N,N,N,No subjects through Irish,Catholic,95,117,212
15625B,ST CATHERINES WEST N S,Donore Avenue,South Circular Road,Dublin 8,,Dublin,Dublin City Council,014542679,Karen Jordan,info@stcatherinesns.net,D08YR66,N,N,N,No subjects through Irish,Church Of Ireland,110,96,206
15650A,CORDUFF N S,Lusk,Co. Dublin,,,Dublin,Fingal County Council,018438274,Carola Reynolds,office@corduffns.scoilnet.ie,K45XV34,N,N,N,No subjects through Irish,Catholic,56,41,97
15816I,ST VINCENTS INF BOYS,North William Street,Dublin 1,,,Dublin,Dublin City Council,018363074,Patrick Courtney,stvincentsbns@gmail.com,D01VW63,N,Y,N,No subjects through Irish,Catholic,,107,107
15895H,DRUMCONDRA N S,Church Avenue,Drumcondra,Dublin 9,,Dublin,Dublin City Council,018374886,Kate Gleeson,office@drumcondrans.ie,D09VY58,N,N,N,No subjects through Irish,Church Of Ireland,27,31,58
15995L,Star of the Sea,Leahy's Terrace,Sandymount,Dublin 4,,Dublin,Dublin City Council,016686394,Niall Walsh,office@starofthesea.ie,D04XW14,N,N,N,No subjects through Irish,Catholic,,325,325
16177F,LINDSAY ROAD N S,LINDSAY ROAD,GLASNEVIN,DUBLIN 9,,Dublin,Dublin City Council,018600247,Stacey Allen,lindsayroadns@hotmail.com,D09YH93,N,N,N,No subjects through Irish,Presbyterian,37,54,91
16267G,ST PATRICKS BOYS NATIONAL SCHOOL,Donabate,Co. Dublin,,,Dublin,Fingal County Council,018436168,Brian Horan,info@stpatsbns.ie,K36W309,N,N,N,No subjects through Irish,Catholic,,394,394
16332O,ST PATRICKS SNR MIXED,Beau Piers Lane,Skerries,Co. Dublin,,Dublin,Fingal County Council,018490945,Michelle Keane,stpatsskerries@gmail.com,K34X751,N,N,N,No subjects through Irish,Catholic,182,168,350
16333Q,ST PATRICKS JNR MIXED,Beau Piers,Skerries,Co. Dublin,,Dublin,Fingal County Council,018490836,Máire Ní Chroínín,admin@stps.ie,K34D799,N,N,N,No subjects through Irish,Catholic,185,163,348
16352U,ST BRIGIDS BOYS N S,Mart Lane,Foxrock,Dublin 18,,Dublin,Dun Laoghaire Rathdown,012893199,Fiona Griffin,principal@stbrigids.ie,D18W406,N,N,N,No subjects through Irish,Catholic,,484,484
16353W,ST BRIGIDS GIRLS N S,The Park,Cabinteely,Dublin 18,,Dublin,Dun Laoghaire Rathdown,012847422,Aedeen Sweeney,scoilbride@eircom.net,D18TN66,N,N,N,No subjects through Irish,Catholic,536,,536
16461C,CAISLEAIN NUA LIAMHNA,Main Street,Newcastle,Co. Dublin,,Dublin,South Dublin County Council,014580114,Jonathan Loftus,info@stfiniansprimaryschool.ie,D22A388,N,N,N,No subjects through Irish,Catholic,287,295,582
16577V,ST BRIGIDS CONVENT,Finglas Road Old,Glasnevin,Dublin 11,,Dublin,Dublin City Council,018376653,Darina Burke,stbrigid.glasnevin@gmail.com,D11VF95,N,N,N,No subjects through Irish,Catholic,469,,469
16629O,KILTERNAN CHURCH OF IRELAND NS,Glebe Road,Enniskerry Road,Kilternan,Dublin 18,Dublin,Dun Laoghaire Rathdown,012953235,Gráinne Dunbar,secretary@kcoins.ie,D18A599,N,N,N,No subjects through Irish,Church Of Ireland,104,107,211
16651H,ST CLARES CONVENT N S,Harold's Cross Road,Dublin 6W,,,Dublin,Dublin City Council,014963237,Maria Spring,info@stclares.ie,D6WWC86,N,N,N,No subjects through Irish,Catholic,121,161,282
16659A,ST COLUMBAS CON G & I,Iona Road,Glasnevin,Dublin 9,,Dublin,Dublin City Council,018305040,Eileen Whelan,principal@ionaroadschool.ie,D09YX46,N,N,N,No subjects through Irish,Catholic,392,,392
16675V,SCOIL NAOMH LUCAIS,Hollywood Road,Tyrellstown,Dublin 15,,Dublin,Fingal County Council,018856015,Vivienne Bourke,katemns@hotmail.com,D15CH64,N,N,N,No subjects through Irish,Catholic,301,299,600
16695E,SCOIL NA MBRATHAR BOYS SENIOR SCHOOL,North Brunswick Street,Dublin 7,,,Dublin,Dublin City Council,018722167,Ruth Coghlan,brunnerprimary@gmail.com,D07P529,N,Y,N,No subjects through Irish,Catholic,,150,150
16753P,ST VINCENT DE PAULS GIRLS SENIOR SCHOOL,Griffith Avenue,Dublin 9,,,Dublin,Dublin City Council,018334697,Patrick McElwain,stvincentsgns.ias@eircom.net,D09AD80,N,N,N,No subjects through Irish,Catholic,333,,333
16754R,ST VINCENTS CONVENT INF N S,67 Griffith Avenue,Dublin 9,,,Dublin,Dublin City Council,018334538,Catherine Kennedy,principalsvdp@gmail.com,D09AP26,N,N,N,No subjects through Irish,Catholic,185,211,396
16759E,S N MHUIRE NA MBRATHAR,Marino,Dublin 9,,,Dublin,Dublin City Council,018336421,Ben Dorney,smmgriffithave@gmail.com,D09NW62,N,N,N,No subjects through Irish,Catholic,,357,357
16786H,ST BRIGIDS PRIMARY SCHOOL,The Coombe,Dublin 8,,,Dublin,Dublin City Council,014547734,Deirdre Early,stbrigidsthecoombe@eircom.net,D08E377,N,Y,N,No subjects through Irish,Catholic,188,75,263
16792C,ST BRIGIDS CONVENT N S,St.Brigid's Road,Killester,Dublin 5,,Dublin,Dublin City Council,018315138,Lorna Diffley,principal@stbrigidsgns.ie,D05YV44,N,N,N,No subjects through Irish,Catholic,422,,422
16794G,ST BRIGIDS N S,Merville Road,Stillorgan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012833095,Dawn Galbraith,staffbrigidsns@gmail.com,A94X066,N,N,N,No subjects through Irish,Church Of Ireland,48,53,101
16844S,SCOIL N. BREANDAN,Loughshinny,Skerries,Co. Dublin,,Dublin,Fingal County Council,018490394,Niall Mulvey,secretary@loughshinnyns.ie,K34T853,N,N,N,No subjects through Irish,Catholic,110,95,205
16860Q,CORPUS CHRISTI N S,Home Farm Road,Drumcondra,Dublin 9,,Dublin,Dublin City Council,018379745,Aisling Downes,ccgns.principal@gmail.com,D09K270,N,N,N,No subjects through Irish,Catholic,439,,439
16893I,S N NAOMH LORCAN,Upper Kilmacud Road,Stillorgan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012882486,Damian Moran,stlaurencesbns@outlook.ie,A94KD62,N,N,N,No subjects through Irish,Catholic,,447,447
16964F,SCOIL MHUIRE OGH 1,Crumlin Road,Dublin 12,,,Dublin,Dublin City Council,014541669,Angela Mitchell,loretoseniorprimarycrumlin@gmail.com,D12EH28,N,Y,N,No subjects through Irish,Catholic,146,90,236
16966J,SCOIL NAISIUNTA STRATFORD,1 Zion Road,Rathgar,Dublin 6,,Dublin,Dublin City Council,014922315,Dr. Helen Heneghan,admin@stratfordcollege.ie,D06E161,N,N,N,No subjects through Irish,Jewish,47,46,93
16970A,ST MOLAGA SENIOR NS,Bremore,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,018413133,Pauline Costello,stmolaga@gmail.com,K32Y662,N,N,N,No subjects through Irish,Catholic,209,259,468
16972E,S N PEADAR AGUS POL N,Chapel Street,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,018412670,Siobhan Whelan,office@sspeterandpauljns.ie,K32PD27,N,N,N,No subjects through Irish,Catholic,213,227,440
16983J,S N NAOMH CILLIN,Robinhood Road,Bluebell,Dublin 12,,Dublin,South Dublin County Council,014500440,Michelle O'Farrell,office@stcilliansns.net,D12W563,N,Y,N,No subjects through Irish,Catholic,12,26,38
16988T,CHRIST THE KING B N S,Annaly Road,Cabra,Dublin 7,,Dublin,Dublin City Council,018680503,Clodagh Vahey,principal@christthekingbns.ie,D07EF63,N,Y,N,No subjects through Irish,Catholic,,108,108
16989V,CHRIST THE KING GIRLS SENIOR SCHOOL,Annaly Road,Cabra,Dublin 7,,Dublin,Dublin City Council,018680115,Gemma Haughey,christthekingsenior@gmail.com,D07HV12,N,Y,N,No subjects through Irish,Catholic,99,,99
17055T,S N NAOMH MHUIRE,Garter's Lane,Saggart,Co. Dublin,,Dublin,South Dublin County Council,014589020,Suzanne Olwill,stmaryssaggart2@gmail.com,D24VW9P,N,N,N,No subjects through Irish,Catholic,345,358,703
17083B,S N MUIRE GAN SMAL B,Tyrconnell Road,Inchicore,Dublin 8,,Dublin,Dublin City Council,014541641,Mary O'Mahony,Office@smgs.ie,D08Y9T4,N,Y,N,No subjects through Irish,Catholic,172,168,340
17104G,ST FRANCIS JUNIOR NATIONAL SCHOOL,Clonshaugh Drive,Priorswood,Dublin 17,,Dublin,Dublin City Council,018470804,Aileen Plunkett,stfrancisjs17@gmail.com,D17KH30,N,Y,N,No subjects through Irish,Catholic,93,107,200
17110B,NAOMH LORCAN O TUATHAIL SENIOR BOYS,Seville Place,Dublin 1,,,Dublin,Dublin City Council,018363490,Mark Candon,info@larriers.ie,D01A439,N,Y,N,No subjects through Irish,Catholic,,65,65
17148D,S N EOIN BAISDE GIRLS SENIOR,Seafield Road West,Clontarf,Dublin 3,,Dublin,Dublin City Council,018331888,Anne McCarthy,info@belgroveseniorgirls.ie,D03T803,N,N,N,No subjects through Irish,Catholic,407,,407
17210F,CLOCHAR LUGHAIDH CAILIN,Williams Park,Rathmines,Dublin 6,,Dublin,Dublin City Council,014976098,Dolores Hanrahan,principal@stlouisschool.net,D06XR52,N,N,N,No subjects through Irish,Catholic,252,199,451
17211H,CLOCHAR LUGHAIDH NAOIDH,Williams Park,Rathmines,Dublin 6,,Dublin,Dublin City Council,014972188,Dr Ann Noelle Bennett,principal@stlouis.ie,D06FD92,N,N,N,No subjects through Irish,Catholic,152,143,295
17214N,St. Vincent's Primary School,St Philomenas Road,Glasnevin,Dublin 11,,Dublin,Dublin City Council,018302328,Edward Sewell,office@vincentsprimary.com,D11HX78,N,N,N,No subjects through Irish,Catholic,,283,283
17263D,S N MUIRE AN SEAN BAILE,Oldtown,Co. Dublin,,,Dublin,Fingal County Council,018432060,Jane Kirwan,oldtownns@gmail.com,A45YD60,N,N,N,No subjects through Irish,Catholic,28,34,62
17318C,SCOIL AN LEINBH IOSA BOYS SENIORS,Larkhill Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,018372472,Cathy Timmons,secretary@holychildbns.ie,D09K104,N,N,N,No subjects through Irish,Catholic,,281,281
17355I,MUIRE NA DEA COIRLE GIRLS SENIOR,Mourne Road,Drimnagh,Dublin 12,,Dublin,Dublin City Council,014557011,Paul Ryan,carmelreidmourneroad@gmail.com,D12XD51,N,Y,N,No subjects through Irish,Catholic,121,5,126
17356K,MUIRE NA DEA COIRLE INF,Mourne Road,Drimnagh,Dublin 12,,Dublin,Dublin City Council,014556594,Caoimhe Warren,infantschoolmourneroad@gmail.com,D12E228,N,Y,N,No subjects through Irish,Catholic,85,91,176
17367P,"MARY, HELP OF CHRISTIANS G.N.S.",Navan Road,Dublin 7,,,Dublin,Dublin City Council,018380471,Renee Moran,principal@maryhelpofchristians.ie,D07EH68,N,N,N,No subjects through Irish,Catholic,435,,435
17459U,CHRIST THE KING I G,Annaly Road,Cabra,Dublin 7,,Dublin,Dublin City Council,018680115,Maeve MacMahon,ckjgns@gmail.com,D07HV12,N,Y,N,No subjects through Irish,Catholic,55,,55
17464N,"FIONNBARRA NAOFA B.N.S.,",Kilkieran Road,Cabra West,Dublin 7,,Dublin,Dublin City Council,018380060,Maeve Daly,chairman.ias@eircom.net,D07A522,N,Y,N,No subjects through Irish,Catholic,,139,139
17465P,DOMINICAN CONVENT GIRLS SENIOR SCHOOL,RATOATH ROAD,CABRA WEST,DUBLIN 7,,Dublin,Dublin City Council,018387194,CYNTHIA O REILLY,principalstcatherinessns@gmail.com,D07V045,N,Y,N,No subjects through Irish,Catholic,197,,197
17466R,ST CATHERINES INFANT SCHOOL,Ratoath Road,Cabra,Dublin 7,,Dublin,Dublin City Council,018684046,Eóin Browne,principal@stcatherinesinfants.com,D07TP21,N,Y,N,No subjects through Irish,Catholic,91,45,136
17470I,ST RAPHAELAS N S,Saint Raphaela's Road,Stillorgan,Blackrock,Co. Dublin,Dublin,Dun Laoghaire Rathdown,012886878,Laura Corry,Secretary@straphaelasns.ie,A94R7N8,N,N,N,No subjects through Irish,Catholic,444,,444
17472M,BAILE FALBACH,Jordanstown,Lusk,Co. Dublin,,Dublin,Fingal County Council,018438372,Annemarie Sharkey,hedgestownnationalschool@gmail.com,K45YP02,N,N,N,No subjects through Irish,Catholic,39,40,79
17507F,S N PADRAIG NAOFA,Ballybetagh Road,Kiltiernan,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012954255,Sibéal Quigley,secretary@glencullenschool.ie,D18H504,N,N,N,No subjects through Irish,Catholic,83,98,181
17559B,S N MHUIRE,The Green,Garristown,Co. Dublin,,Dublin,Fingal County Council,018354505,Hugh Daly,garristownschooloffice@gmail.com,A42V673,N,N,N,No subjects through Irish,Catholic,94,107,201
17569E,BLESSED OLIVER N S,Balrothery,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,018411494,Mairéad Murphy,office@balrotheryns.com,K32WR94,N,N,N,No subjects through Irish,Catholic,157,171,328
17595F,CILL COSCAIN,Kilcoscan,The Ward,Co. Dublin,,Dublin,Fingal County Council,018351508,Paddy Christie,kilcoskanprincipal@gmail.com,D11PW92,N,N,N,No subjects through Irish,Catholic,55,65,120
17603B,SCOIL IOSAGAIN BOYS SENIOR,Aughavannagh Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,014541821,Aoife Wrynne,principalscoiliosagain@gmail.com,D12W522,N,Y,N,No subjects through Irish,Catholic,,68,68
17683C,MUIRE OG 2 LORETO CON,Crumlin Road,Dublin 12,,,Dublin,Dublin City Council,014541746,Denise Griffin,principal@loretojunior.ie,D12P602,N,Y,N,No subjects through Irish,Catholic,123,95,218
17730I,S N NA LANAI GLASA,Seafield Avenue,Clontarf,Dublin 3,,Dublin,Dublin City Council,018331554,Cathy Atkin,cathy.harry@greenlanes.ie,D03A024,N,N,N,No subjects through Irish,Church Of Ireland,148,132,280
17732M,SCOIL CHIARAIN,Collins Avenue East,Killester,Dublin 5,,Dublin,Dublin City Council,018313072,Ciara Nic Airt,cibeag@yahoo.com,D05Y578,N,Y,N,No subjects through Irish,Catholic,,133,133
17785K,SAN NIOCLAS MYRA,Malahide Road,Kinsealy,Dublin 17,,Dublin,Fingal County Council,018464033,Breandan Ó Fathaigh,principal@kinsealyns.ie,D17FP52,N,N,N,No subjects through Irish,Catholic,101,110,211
17820J,BRIGHDE NAOFA,Rowlestown Drive,Kilsallaghan,Co. Dublin,,Dublin,Fingal County Council,018404130,Ann Ryan,rolestown.ns@gmail.com,K67Y308,N,N,N,No subjects through Irish,Catholic,192,169,361
17881G,SCOIL UI CHONAILL BOYS SENIORS,North Richmond Street,Dublin 1,,,Dublin,Dublin City Council,018557517,Michael Mc Hugh,secretary@oconnellprimary.ie,D01H9X5,N,Y,N,No subjects through Irish,Catholic,,182,182
17891J,SCOIL MHUIRE,Tower Road,Chapelizod,Dublin 20,,Dublin,Dublin City Council,018213105,Úna O'Kelly,scoilmhuiremountsackville@gmail.com,D20HX04,N,N,N,No subjects through Irish,Catholic,220,,220
17893N,SANCTA MARIA C B S,Synge Strete,Dublin 8,,,Dublin,Dublin City Council,014784316,Victoria McQuaid,principal@bunscoilsynge.ie,D08V6R9,N,Y,N,Some subjects through Irish,Catholic,18,82,100
